u,v,key,osmid,highway,name,oneway,ref,reversed,length,geometry,lanes,maxspeed,bridge,tunnel,width,access
1281078096,1281087529,0,1237487322,primary,珠洲里線,False,40,True,1604.4977707343517,"LINESTRING (137.1460705 37.4457326, 137.1604891 37.4486566)",2.0,,,,,
1281078102,11491677261,0,112772016,unclassified,,False,,True,15.754675245298248,"LINESTRING (137.221103 37.395328, 137.2212623 37.3953917)",,,,,,
1281078102,11491727412,0,112772016,unclassified,,False,,False,69.41918317847978,"LINESTRING (137.221103 37.395328, 137.2204846 37.3949529)",,,,,,
1281078102,11491715164,0,1237269001,unclassified,,False,,True,238.30985712571484,"LINESTRING (137.221103 37.395328, 137.2236267 37.3954848)",,,,,,
1281078114,1281110312,0,1237206241,primary,大谷狼煙飯田線,False,28,True,13.949883410368916,"LINESTRING (137.3431023 37.4431215, 137.3432568 37.4430952)",,,,,,
1281078114,1281135622,0,112771738,residential,,False,,True,173.84039687018233,"LINESTRING (137.3431023 37.4431215, 137.3434184 37.442234)",,,,,,
1281078114,1281101432,0,1237206241,primary,大谷狼煙飯田線,False,28,False,421.5166071208974,"LINESTRING (137.3431023 37.4431215, 137.338828 37.441998)",,,,,,
1281078302,5265188508,0,544697041,residential,,False,,False,104.23183885348722,"LINESTRING (137.3475753 37.505016, 137.3474385 37.5041015)",,,,,,
1281078302,5265181940,0,1237201208,primary,大谷狼煙飯田線,False,28,True,153.68585256424507,"LINESTRING (137.3475753 37.505016, 137.3462839 37.5058858)",,40,,,,
1281078302,5265188517,0,1237201209,primary,大谷狼煙飯田線,False,28,False,86.39120599027665,"LINESTRING (137.3475753 37.505016, 137.3483146 37.5045386)",,30,,,,
1281078474,1281099868,0,112772398,tertiary,国道249号旧道,False,,True,238.0816865681336,"LINESTRING (137.2634743 37.43574, 137.2656548 37.4369865)",2.0,40,,,,
1281078474,1281117052,0,112772565,tertiary,国道249号旧道,False,,False,173.99392440435963,"LINESTRING (137.2634743 37.43574, 137.26175 37.4349905)",2.0,40,,,,
1281078474,1281080683,0,"[112774266, 112770794, 112773702]",unclassified,,False,,False,223.6101893268588,"LINESTRING (137.2634743 37.43574, 137.2636176 37.4375626)",,,,,,
1281078474,11481301907,0,628966477,unclassified,,False,,False,83.94841871086716,"LINESTRING (137.2634743 37.43574, 137.2639116 37.4350697)",,,,,,
1281078566,1281136929,0,112774356,unclassified,,False,,True,623.8201636113413,"LINESTRING (137.227612 37.415485, 137.221017 37.416251)",,,,,,
1281078645,1281137883,0,"[112773945, 112771004, 112773996, 112770415]",tertiary,,False,,"[False, True]",313.59895099293254,"LINESTRING (137.1996509 37.4559179, 137.1978087 37.4579538)",,,yes,,,
1281078645,1281142424,0,112770415,tertiary,,False,,True,150.74010031284692,"LINESTRING (137.1996509 37.4559179, 137.2011661 37.4555809)",,,,,,
1281078645,1281069680,0,112772468,unclassified,,False,,True,504.4687757553555,"LINESTRING (137.1996509 37.4559179, 137.2045261 37.4569365)",,,,,,
1281078670,8592515973,0,112773728,trunk,国道249号,False,249,False,45.778813366463886,"LINESTRING (137.223987 37.4601815, 137.2244704 37.4600323)",2.0,50,,,,
1281078670,1281080973,0,112773728,trunk,国道249号,False,249,True,128.49181570751136,"LINESTRING (137.223987 37.4601815, 137.2226255 37.4605893)",2.0,50,,,,
1281078670,11490285633,0,"[112774992, 112771105, 112771823]",unclassified,,False,,"[False, True]",178.8206464383144,"LINESTRING (137.223987 37.4601815, 137.2228206 37.4588987)",,,yes,,,
1281078757,1281087605,0,"[112770690, 112771491, 112774952, 112770345, 112774698, 112774347, 112771404, 112773455, 112773009, 112774261, 112772280, 112772124]",unclassified,,False,,"[False, True]",5605.939843566071,"LINESTRING (137.280208 37.524577, 137.24461 37.5004748)",,,,,,
1281078757,1281072038,0,1237118764,primary,折戸飯田線,False,52,False,17.793318979582565,"LINESTRING (137.280208 37.524577, 137.2802493 37.5244214)",2.0,,,,,
1281078757,1281142514,0,1237118764,primary,折戸飯田線,False,52,True,60.98785890424092,"LINESTRING (137.280208 37.524577, 137.280144 37.525114)",2.0,,,,,
1281078765,11486237395,0,112772110,primary,珠洲里線,False,40,False,97.56682465655076,"LINESTRING (137.1976246 37.4582525, 137.1965912 37.4579456)",2.0,,,,,
1281078765,1281076464,0,112772110,primary,珠洲里線,False,40,True,690.94373819149,"LINESTRING (137.1976246 37.4582525, 137.2048073 37.4591106)",2.0,,,,,
1281078765,1281137883,0,112773977,unclassified,,False,,False,37.055932687741645,"LINESTRING (137.1976246 37.4582525, 137.1978087 37.4579538)",,,,,,
1281078769,11491221627,0,112771196,residential,,False,,True,59.63169902976523,"LINESTRING (137.3350369 37.4647545, 137.3344662 37.4650254)",,,,,,
1281078769,1281100684,0,112772411,residential,,False,,True,208.8990369403676,"LINESTRING (137.3350369 37.4647545, 137.3360385 37.4664349)",,,,,,
1281078769,11491743973,0,112774082,residential,,False,,True,132.2916797008051,"LINESTRING (137.3350369 37.4647545, 137.3352698 37.4636093)",,,,,,
1281078806,1281116513,0,"[112770536, 112770748, 112773852]",secondary,粟津正院線,False,287,"[False, True]",98.00692548364384,"LINESTRING (137.320049 37.4658844, 137.3189542 37.4657399)",,,yes,,,
1281078806,1281144378,0,112770536,secondary,粟津正院線,False,287,True,78.33052303502552,"LINESTRING (137.320049 37.4658844, 137.3209004 37.4660734)",,,,,,
